US 변수,KR 변수,상관계수 (r),p-value,기울기,절편,샘플 수,해석
SOX,KOSPI 갭,-0.2128,3.8e-05,-0.099,0.2083,369,US SOX 1%↓ → KR KOSPI 0.10%↓ 갭
SOX,SEC 갭,-0.212,4.1e-05,-0.1675,0.2474,368,US SOX 1%↓ → KR SEC 0.17%↓ 갭
SOX,HYNIX 갭,-0.1729,0.000866,-0.2096,0.3538,368,US SOX 1%↓ → KR HYNIX 0.21%↓ 갭
NVDA,KOSPI 갭,-0.1375,0.008156,-0.0501,0.1957,369,US NVDA 1%↓ → KR KOSPI 0.05%↓ 갭
NVDA,SEC 갭,-0.1135,0.029497,-0.0704,0.2222,368,US NVDA 1%↓ → KR SEC 0.07%↓ 갭
NVDA,HYNIX 갭,-0.1048,0.044501,-0.0997,0.3257,368,US NVDA 1%↓ → KR HYNIX 0.10%↓ 갭
SP500,KOSPI 갭,-0.1734,0.000824,-0.1836,0.2017,369,US SP500 1%↓ → KR KOSPI 0.18%↓ 갭
SP500,SEC 갭,-0.1608,0.001977,-0.2892,0.2337,368,US SP500 1%↓ → KR SEC 0.29%↓ 갭
SP500,HYNIX 갭,-0.1117,0.032124,-0.3083,0.3306,368,US SP500 1%↓ → KR HYNIX 0.31%↓ 갭
NASDAQ,KOSPI 갭,-0.1729,0.000851,-0.1391,0.2028,369,US NASDAQ 1%↓ → KR KOSPI 0.14%↓ 갭
NASDAQ,SEC 갭,-0.1538,0.003106,-0.2102,0.2342,368,US NASDAQ 1%↓ → KR SEC 0.21%↓ 갭
NASDAQ,HYNIX 갭,-0.1193,0.022052,-0.2502,0.3353,368,US NASDAQ 1%↓ → KR HYNIX 0.25%↓ 갭
